Date,ZHVI_diff1,Interest_Rate,Median_Household_Income,real_mortgage_rate,Poverty_Rate_lag15,Unemployment_Rate_lag2
2018-09-01,1193.8331999999937,1.95,91502.8959069654,2.595042743662151,16.6,5.5
2018-10-01,920.7251999999862,2.19,92083.3527228095,3.1840435301965444,16.6,5.5
2018-11-01,934.0704999999725,2.2,92572.42918741294,3.60646038344606,16.6,5.5
2018-12-01,913.8697000000393,2.27,92915.175651468,3.6081441532472116,16.6,5.6
2019-01-01,926.4904999999562,2.4,93110.0,3.66275182058191,16.6,5.7
2019-02-01,1359.2817000000505,2.4,93126.38303868278,3.155956616594106,16.6,5.8
2019-03-01,1885.7691999999806,2.41,93001.4572780276,2.6378550221900863,16.6,5.9
2019-04-01,2056.8898000000045,2.42,92731.52222200132,2.5273093891099174,16.2,5.9
2019-05-01,1337.379499999981,2.39,92361.42384784498,2.468684112006727,16.2,5.8
2019-06-01,740.5741000000271,2.38,91890.87028027928,2.3990642457034,16.2,5.7
2019-07-01,385.1044999999576,2.4,91373.55820268983,2.5612567171470464,16.2,5.6
2019-08-01,597.585000000021,2.13,90799.38149290172,2.549860499131554,16.2,5.4
2019-09-01,610.617499999993,2.04,90209.71540786592,2.675920260324802,16.2,5.4
2019-10-01,986.7851999999839,1.83,89647.91771562136,2.4765748298281687,16.2,5.3
2019-11-01,1452.1751000000513,1.55,89100.91658634943,2.1991360294117706,16.2,5.2
2019-12-01,2020.8970999999437,1.55,88627.34080419103,2.1849156324509447,16.2,5.2
2020-01-01,2514.6787000000477,1.55,88220.0,2.049872270342807,16.2,5.2
2020-02-01,2730.2347999999765,1.58,87916.08540567601,2.466635138189137,16.2,5.4
2020-03-01,2780.779900000023,0.65,87726.78617503656,3.023142811732529,16.2,5.5
2020-04-01,2309.847699999984,0.05,87622.89442481393,3.1373920154500823,15.5,5.7
2020-05-01,1143.10070000001,0.05,87616.2143231633,3.32048083972823,15.5,5.8
2020-06-01,239.1191000000108,0.08,87703.11665062224,2.80797753216213,15.5,11.2
2020-07-01,487.57459999999264,0.09,87874.94712286947,2.2176442282309674,15.5,8.8
2020-08-01,2144.287000000011,0.1,88139.97722536909,1.916476247008482,15.5,8.6
2020-09-01,4180.062399999995,0.09,88490.6771679751,1.6515819209039404,15.5,8.6
2020-10-01,5365.39989999996,0.09,88908.55213418034,1.5217174728476803,15.5,8.4
2020-11-01,5910.943200000038,0.09,89418.27657571282,1.3787209179476894,15.5,8.4
2020-12-01,5610.9458999999915,0.09,89983.91736218196,1.2208579702291082,15.5,8.1
2021-01-01,5073.628099999973,0.09,90640.0,1.1954009263116752,15.5,7.9
2021-02-01,5216.89850000001,0.08,91364.98864329344,0.729589032338128,15.5,7.7
2021-03-01,5780.18670000002,0.07,92073.76651862526,0.45914148312827896,15.5,7.3
2021-04-01,6489.357299999974,0.07,92911.78376931052,-0.15039768940234444,13.5,7.1
2021-05-01,6582.069599999988,0.06,93769.7333818951,-0.8341680841295509,13.5,7.0
2021-06-01,5745.649000000034,0.08,94698.01542136226,-1.1338514502270134,13.5,7.1
2021-07-01,3511.7270000000135,0.1,95630.23488513558,-1.5512197899636022,13.5,7.1
2021-08-01,1226.1381999999867,0.09,96621.74316161095,-1.6264642307512935,13.5,7.3
2021-09-01,-570.1192000000156,0.08,97635.02081173674,-1.6184308823310594,13.5,7.1
2021-10-01,-128.41580000001704,0.08,98629.76209785676,-2.083312669306104,13.5,7.0
2021-11-01,796.555800000031,0.08,99665.4865298566,-2.715901563081503,13.5,6.6
2021-12-01,2147.8447999999626,0.08,100668.86733789976,-2.7775459122646016,13.5,6.5
2022-01-01,3930.1648000000278,0.08,101700.0,-2.522065259578241,13.5,6.3
2022-02-01,5952.824800000002,0.08,102718.4371469942,-2.8730119528737514,13.5,6.1
2022-03-01,7930.5406000000075,0.2,103621.59530276852,-3.127511285235383,13.5,6.0
2022-04-01,7829.949999999953,0.33,104596.57752787566,-2.427076243822613,16.5,5.6
2022-05-01,6483.35560000001,0.77,105508.78934682244,-2.288254526469969,16.5,5.2
2022-06-01,3643.1193000000203,1.21,106412.24830501634,-1.9700574279942362,16.5,4.9
2022-07-01,-42.506900000036694,1.68,107242.1608889953,-2.053667918910505,16.5,4.7
2022-08-01,-3183.005200000014,2.33,108047.05802850224,-1.7722788697788614,16.5,4.4
2022-09-01,-4557.800599999959,2.56,108791.50438220796,-0.41446716476881207,16.5,4.2
2022-10-01,-3116.280700000003,3.08,109447.80180613347,0.8522942532640574,16.5,4.0
2022-11-01,-1688.8717999999644,3.78,110052.90688601811,1.230485505206885,16.5,4.2
2022-12-01,-660.1574000000255,4.1,110561.27474571014,1.4042684798867802,16.5,4.4
2023-01-01,-769.8941000000341,4.33,111000.0,1.922323146526769,16.5,4.6
2023-02-01,-264.0021999999881,4.57,111000.0,2.254425229528163,16.5,4.8
2023-03-01,132.08889999997336,4.65,111000.0,2.881436308075563,16.5,4.9
2023-04-01,1522.5887000000803,4.83,111000.0,2.9867816235440365,13.3,5.0
2023-05-01,2550.5709999999963,5.06,111000.0,3.371644681159588,13.3,5.0
2023-06-01,3629.7839000000386,5.08,111000.0,4.301410477186776,13.3,4.9
2023-07-01,3354.0752999999095,5.12,111000.0,5.060959734877655,13.3,4.8
2023-08-01,2722.1780000000726,5.33,111000.0,4.514945235770728,13.3,4.8
2023-09-01,1730.9857999999076,5.33,111000.0,3.8631915206436878,13.3,4.7
2023-10-01,1133.6221000000369,5.33,111000.0,4.563370601298384,13.3,4.8
2023-11-01,654.9673000000184,5.33,111000.0,4.664786877051504,13.3,4.9
2023-12-01,558.7754999999888,5.33,111000.0,3.619920949078333,13.3,4.9
2024-01-01,419.67599999997765,5.33,111000.0,3.0282475706086265,13.3,4.9
2024-02-01,1437.6406000000425,5.33,111000.0,3.289746534923151,13.3,4.9
2024-03-01,3024.9094999999506,5.33,111000.0,3.4601478889512336,13.3,5.0
2024-04-01,4169.523900000029,5.33,111000.0,3.668007440710939,14.0,5.1
2024-05-01,3425.278500000015,5.33,111000.0,3.77055645356561,14.0,5.2
2024-06-01,1679.3985000000102,5.33,111000.0,3.443044004046582,14.0,5.2
2024-07-01,561.0370999999577,5.33,111000.0,3.187824889525131,14.0,5.3
2024-08-01,517.9152999999933,5.33,111000.0,3.3593731438976757,14.0,5.4
2024-09-01,1427.269100000034,5.13,111000.0,3.5517397349751487,14.0,5.5
2024-10-01,2076.25410000002,4.83,111000.0,3.7641309301199906,14.0,5.7
2024-11-01,2306.116299999994,4.64,111000.0,4.1054257195568375,14.0,5.7
2024-12-01,2063.3713999999454,4.48,111000.0,4.271518645493062,14.0,5.7
